timestamp,message_type,source_device_id,target_device_id,success,spreading_factor,rssi,snr,end_to_end_delay_ms,session_id,payload_size_bytes,server_timestamp
2025-07-29 13:57:54.120,COMMAND,eui-617dd6c4ee40e566,eui-6a6222f434c7fd2c,True,SF7,-85,15,,eui-617dd6c4ee40e566_1753808056467,4,1753808274.120302
2025-07-29 13:58:14.034,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF7,-80,13,,,1,1753808294.034826
2025-07-29 13:58:14.037,COMMAND,SERVER,eui-6a6222f434c7fd2c,True,,,,,,2,1753808294.037184
2025-07-29 13:58:21.101,ACK,eui-6a6222f434c7fd2c,,True,SF7,-80,15,244633,eui-617dd6c4ee40e566_1753808056467,1,1753808301.101416
2025-07-29 13:58:43.835,DISCOVER,eui-6a6222f434c7fd2c,,True,SF7,-89,15,,eui-6a6222f434c7fd2c_1753808323835,1,1753808323.835698
2025-07-29 13:58:43.837,ROSTER,SERVER,eui-6a6222f434c7fd2c,True,,,,,eui-6a6222f434c7fd2c_1753808323835,3,1753808323.837091
2025-07-29 13:58:43.837,ROSTER,SERVER,eui-6a6222f434c7fd2c,True,,,,,eui-6a6222f434c7fd2c_1753808323835,3,1753808323.837693
2025-07-29 13:58:47.314,KEEPALIVE,eui-617dd6c4ee40e566,,True,SF7,-91,15,,,1,1753808327.314749
2025-07-29 13:58:49.567,COMMAND,eui-6a6222f434c7fd2c,eui-617dd6c4ee40e566,True,SF7,-90,15,,eui-6a6222f434c7fd2c_1753808098551,4,1753808329.567822
2025-07-29 13:59:17.625,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF7,-82,15,,,1,1753808357.625403
2025-07-29 13:59:49.475,COMMAND,eui-617dd6c4ee40e566,eui-6a6222f434c7fd2c,True,SF7,-87,15,,eui-617dd6c4ee40e566_1753808161812,4,1753808389.475227
2025-07-29 13:59:49.476,COMMAND,SERVER,eui-617dd6c4ee40e566,True,,,,,,2,1753808389.476393
2025-07-29 13:59:56.437,ACK,eui-617dd6c4ee40e566,,True,SF7,-85,15,297885,eui-6a6222f434c7fd2c_1753808098551,1,1753808396.437097
2025-07-29 14:00:20.704,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF7,-79,15,,,1,1753808420.704537
2025-07-29 14:00:20.705,COMMAND,SERVER,eui-6a6222f434c7fd2c,True,,,,,,2,1753808420.705784
2025-07-29 14:00:24.083,COMMAND,eui-617dd6c4ee40e566,eui-6a6222f434c7fd2c,True,SF7,-92,14,,eui-617dd6c4ee40e566_1753808161812,4,1753808424.084157
2025-07-29 14:00:27.814,ACK,eui-6a6222f434c7fd2c,,True,SF7,-81,15,266002,eui-617dd6c4ee40e566_1753808161812,1,1753808427.814437
2025-07-29 14:00:27.815,COMMAND,SERVER,eui-6a6222f434c7fd2c,True,,,,,,2,1753808427.81558
2025-07-29 14:00:34.938,ACK,eui-6a6222f434c7fd2c,,True,SF7,-83,15,,,1,1753808434.93827
2025-07-29 14:00:47.123,KEEPALIVE,eui-617dd6c4ee40e566,,True,SF7,-89,15,,,1,1753808447.123903
2025-07-29 14:01:22.964,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF7,-81,15,,,1,1753808482.964748
2025-07-29 14:02:09.455,COMMAND,eui-617dd6c4ee40e566,eui-6a6222f434c7fd2c,True,SF7,-92,15,,,4,1753808529.455732
2025-07-29 14:02:22.254,COMMAND,eui-6a6222f434c7fd2c,eui-617dd6c4ee40e566,True,SF7,-83,15,,eui-6a6222f434c7fd2c_1753808323835,4,1753808542.254971
2025-07-29 14:02:22.255,COMMAND,SERVER,eui-6a6222f434c7fd2c,True,,,,,,2,1753808542.256051
2025-07-29 14:02:29.320,ACK,eui-6a6222f434c7fd2c,,True,SF7,-81,15,,,1,1753808549.321131
2025-07-29 14:02:37.409,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF7,-83,15,,,1,1753808557.409855
2025-07-29 14:02:47.547,KEEPALIVE,eui-617dd6c4ee40e566,,True,SF7,-81,15,,,1,1753808567.547994
2025-07-29 14:02:47.549,COMMAND,SERVER,eui-617dd6c4ee40e566,True,,,,,,2,1753808567.549317
2025-07-29 14:02:54.719,ACK,eui-617dd6c4ee40e566,,True,SF7,-85,15,250884,eui-6a6222f434c7fd2c_1753808323835,1,1753808574.71996
2025-07-29 14:03:15.606,DISCOVER,eui-617dd6c4ee40e566,,True,SF7,-85,11,,eui-617dd6c4ee40e566_1753808595606,1,1753808595.607022
2025-07-29 14:03:15.615,ROSTER,SERVER,eui-617dd6c4ee40e566,True,,,,,eui-617dd6c4ee40e566_1753808595606,3,1753808595.615472
2025-07-29 14:03:15.615,ROSTER,SERVER,eui-617dd6c4ee40e566,True,,,,,eui-617dd6c4ee40e566_1753808595606,3,1753808595.615681

