timestamp,device_id,message_type,rssi,snr,data
2025-07-20 16:17:34,eui-6a6222f434c7fd2c,KEEPALIVE,-105,-19,
2025-07-20 16:18:37,eui-6a6222f434c7fd2c,KEEPALIVE,-111,-13,
2025-07-20 16:19:21,eui-617dd6c4ee40e566,DISCOVER,-108,-14,
2025-07-20 16:19:40,eui-6a6222f434c7fd2c,KEEPALIVE,-116,-10,
2025-07-20 16:19:47,eui-617dd6c4ee40e566,COMMAND,-109,-16,target:eui-6a6222f434c7fd2c
2025-07-20 16:20:01,eui-617dd6c4ee40e566,KEEPALIVE,-112,-10,
2025-07-20 16:20:51,eui-6a6222f434c7fd2c,KEEPALIVE,-110,-16,
2025-07-20 16:20:56,eui-617dd6c4ee40e566,COMMAND,-107,-14,target:eui-6a6222f434c7fd2c
2025-07-20 16:21:04,eui-617dd6c4ee40e566,KEEPALIVE,-116,-3.8,
2025-07-20 16:22:08,eui-617dd6c4ee40e566,KEEPALIVE,-112,-12,
2025-07-20 16:22:45,eui-617dd6c4ee40e566,DISCOVER,-109,-14,
2025-07-20 16:22:49,eui-6a6222f434c7fd2c,KEEPALIVE,-109,-16,
2025-07-20 16:23:04,eui-617dd6c4ee40e566,DISCOVER,-117,-8.8,
2025-07-20 16:23:12,eui-617dd6c4ee40e566,KEEPALIVE,-111,-10,
2025-07-20 16:23:24,eui-617dd6c4ee40e566,COMMAND,-109,-14,target:eui-6a6222f434c7fd2c
2025-07-20 16:23:51,eui-6a6222f434c7fd2c,KEEPALIVE,-116,-9.5,
2025-07-20 16:24:12,eui-617dd6c4ee40e566,KEEPALIVE,-110,-16,
2025-07-20 16:24:29,eui-6a6222f434c7fd2c,DISCOVER,-115,-9,
2025-07-20 16:24:49,eui-6a6222f434c7fd2c,COMMAND,-109,-19,target:eui-617dd6c4ee40e566
2025-07-20 16:25:15,eui-617dd6c4ee40e566,KEEPALIVE,-112,-16,
2025-07-20 16:25:23,eui-617dd6c4ee40e566,ACK,-111,-15,
